Ulasan,Term,TF,IDF,TF-IDF
 ulasan6,proses,1,3.8551036190587067,0.11025660772322718
 ulasan6,rish,1,7.7770769553400205,0.22242570053347685
 ulasan6,saldo,1,5.212127597878484,0.14906772028685727
 ulasan6,servis,1,6.167639042905921,0.17639550728812275
 ulasan6,silah,1,6.678464666671911,0.19100520549081118
 ulasan6,suruh,1,4.481240089335692,0.12816421540547984
 ulasan6,tagih,2,3.2552883782909805,0.18620358320684782
 ulasan6,tanggung,1,5.762173934797756,0.16479913743981933
 ulasan6,terima,1,2.860752340715006,0.0818179949986748
 ulasan6,tidak,4,1.8730784340133146,0.21428142487570087
 ulasan6,transaksi,3,2.5869017474116873,0.22195746680283293
 ulasan7,bayar,1,1.9704370952441121,0.14379905048582184
 ulasan7,belanja,1,3.4595888418037104,0.2524747385864077
 ulasan7,cepat,1,3.1570181568581788,0.2303936595684439
 ulasan7,gka,1,7.371611847231857,0.5379673305686786
 ulasan7,limit,1,2.2436874666125006,0.16374038433632193
 ulasan7,pakai,2,2.6802639650027125,0.3912019461560182
 ulasan7,pinjam,1,2.9648925999676035,0.21637267269116336
 ulasan7,rutin,1,6.272999558563747,0.45779252856975555
 ulasan7,tetep,1,5.069026754237811,0.3699287005436327
 ulasan8,adu,1,5.90527477843843,0.1828523073120588
 ulasan8,aju,1,3.5950268126988147,0.1113172497833411
 ulasan8,bayar,1,1.9704370952441121,0.06101307437787561
 ulasan8,bukti,1,5.762173934797756,0.17842129937089765
 ulasan8,cs,1,4.152736022363656,0.1285862879945262
 ulasan8,denda,1,4.444872445164817,0.13763206841343656
 ulasan8,di,1,4.663561646129646,0.14440361190310694
 ulasan8,email,1,4.57840383778934,0.14176676563855756
 ulasan8,henti,1,7.371611847231857,0.2282563107472691
 ulasan8,kecewa,1,3.4332715334863373,0.10630862154272108
 ulasan8,kredivo,1,1.8514851523827467,0.057329818639993674
 ulasan8,kurang,1,7.7770769553400205,0.24081122704393573
 ulasan8,lambat,3,4.359350271726655,0.40495181958871834
 ulasan8,lampir,1,7.371611847231857,0.2282563107472691
 ulasan8,langgan,1,5.102928305913492,0.15800826376296725
 ulasan8,mar,1,7.7770769553400205,0.24081122704393573
 ulasan8,pembayran,2,7.7770769553400205,0.48162245408787147
 ulasan8,proses,1,3.8551036190587067,0.11937032875180752
 ulasan8,rugi,1,5.334729919970816,0.16518582307380586
 ulasan8,tagih,2,3.2552883782909805,0.2015950191208675
 ulasan8,tanggal,1,4.427172868065416,0.13708401457470748
 ulasan8,telepon,1,4.427172868065416,0.13708401457470748
 ulasan8,tidak,3,1.8730784340133146,0.1739953141653949
 ulasan8,total,1,6.167639042905921,0.19097621566756431
 ulasan9,bantu,1,2.535329940280379,0.1590796995093604
