Tokenizing,Stemming
"['sangat', 'membantu', 'limit', 'juga', 'cepat', 'naik', 'jika', 'pembayaran', 'tidak', 'telat', 'pokoknya', 'bagus', 'banget', 'kredivo', 'semoga', 'limit', 'nasabah', 'dikasi', 'gede', 'bunga', 'juga', 'rendah', 'yang', 'bulan', 'persen']",sangat bantu limit juga cepat naik jika bayar tidak telat pokok bagus banget kredivo moga limit nasabah kasi gede bunga juga rendah yang bulan persen
"['sangat', 'membantu', 'bunga', 'ringan', 'tenornya', 'di', 'tambah', 'lagi', 'kak', 'trs', 'tiap', 'angsuran', 'jatuh', 'temponya', 'jangan', 'tambah', 'maju', 'kak', 'soalnya', 'sudah', 'di', 'sesuaikan', 'dgn', 'gajihan', 'bulanan']",sangat bantu bunga ringan tenor di tambah lagi kak trs tiap angsur jatuh tempo jangan tambah maju kak soal sudah di sesuai dgn gajih bulan
"['udah', 'kali', 'daftar', 'kali', 'di', 'tolak', 'kali', 'di', 'suruh', 'nunggu', 'bulan', 'udah', 'ga', 'minat', 'sama', 'aplikasi', 'payah', 'macam', 'ini', 'ya', 'udah', 'gua', 'hpus', 'deh', 'apliksinya', 'aplikasi', 'nya', 'hancur']",udah kali daftar kali di tolak kali di suruh nunggu bulan udah ga minat sama aplikasi payah macam ini ya udah gua hpus deh apliksinya aplikasi nya hancur
"['saya', 'sangat', 'kecewa', 'si', 'sebenernya', 'padahal', 'jelas', 'jelas', 'sudah', 'bayar', 'tapi', 'masa', 'pas', 'saya', 'mau', 'bayar', 'lagi', 'statusnya', 'belum', 'ada', 'pembayaran', 'pelayanan', 'dalam', 'aplikasi', 'nya', 'sangat', 'terlambat', 'no', 'recomended']",saya sangat kecewa si sebenernya padahal jelas jelas sudah bayar tapi masa pas saya mau bayar lagi status belum ada bayar layan dalam aplikasi nya sangat lambat no recomended
"['sangat', 'bagus', 'aplikasi', 'ini', 'dulu', 'awalnya', 'limitnya', 'sedikit', 'sekarang', 'lebih', 'banyak', 'karena', 'bayarnya', 'gak', 'pernah', 'telat']",sangat bagus aplikasi ini dulu awal limit sedikit sekarang lebih banyak karena bayar gak pernah telat
"['semua', 'layanan', 'nya', 'baik', 'waktu', 'juga', 'baik', 'penawaran', 'penawaran', 'baik', 'cuma', 'platform', 'nya', 'belum', 'tinggi', 'dan', 'tenor', 'nya', 'masih', 'singkat']",semua layan nya baik waktu juga baik tawar tawar baik cuma platform nya belum tinggi dan tenor nya masih singkat
"['kredivo', 'ini', 'bener', 'bener', 'sistem', 'nya', 'asal', 'pembayarannya', 'tepat', 'waktu', 'maka', 'kemudahan', 'akan', 'diberikan', 'dlu', 'saya', 'sering', 'telat', 'jd', 'limit', 'kecil', 'dan', 'serba', 'terbatas', 'tp', 'sekarang', 'semua', 'lancar', 'sih']",kredivo ini bener bener sistem nya asal bayar tepat waktu maka mudah akan beri dlu saya sering telat jd limit kecil dan serba batas tp sekarang semua lancar sih
"['belanja', 'dengan', 'kredivo', 'sangat', 'mudah', 'dan', 'bisa', 'wujudkan', 'beli', 'barang', 'yang', 'diinginkan', 'baik', 'sistem', 'bayar', 'hari', 'kemudian', 'maupun', 'bayar', 'dengan', 'cicilan', 'bisa', 'juga', 'bila', 'butuh', 'uang', 'tunai', 'cepat', 'dan', 'tidak', 'ribet', 'dengan', 'kredivo', 'saja', 'sekarang', 'juga', 'sudah', 'bisa', 'buat', 'belanja', 'di', 'indomart', 'juga', 'alfamart', 'dan', 'merchant', 'lain', 'nya', 'juga', 'bisa', 'pakai', 'qris', 'buat', 'belanja', 'di', 'kedai', 'minuman']",belanja dengan kredivo sangat mudah dan bisa wujud beli barang yang ingin baik sistem bayar hari kemudian maupun bayar dengan cicil bisa juga bila butuh uang tunai cepat dan tidak ribet dengan kredivo saja sekarang juga sudah bisa buat belanja di indomart juga alfamart dan merchant lain nya juga bisa pakai qris buat belanja di kedai minum
"['udah', 'bisa', 'transaksi', 'sih', 'tempo', 'juga', 'masih', 'bulan', 'lagi', 'limit', 'juga', 'masih', 'ada', 'esoknya', 'mau', 'transaksi', 'lagi', 'gak', 'bisa', 'alasan', 'keamanan', 'akun', 'katanya', 'suruh', 'update', 'udah', 'update', 'versi', 'terbaru', 'masih', 'sama', 'saja', 'gak', 'jelas', 'dari', 'dulu', 'selalu', 'begini']",udah bisa transaksi sih tempo juga masih bulan lagi limit juga masih ada esok mau transaksi lagi gak bisa alas aman akun kata suruh update udah update versi baru masih sama saja gak jelas dari dulu selalu begini
"['maaf', 'admin', 'mohon', 'di', 'perbaiki', 'fitur', 'kredivo', 'yang', 'sebelumnya', 'sudah', 'bagus', 'jadi', 'kurang', 'konsisten', 'pembayaran', 'tanpa', 'ada', 'konfirmasi', 'tiba', 'tiba', 'ter', 'proses', 'tanpa', 'rincian', 'tenor', 'dan', 'jumlah', 'makasih']",maaf admin mohon di baik fitur kredivo yang belum sudah bagus jadi kurang konsisten bayar tanpa ada konfirmasi tiba tiba ter proses tanpa rincian tenor dan jumlah makasih
"['semakin', 'lama', 'kredivo', 'semakin', 'tidak', 'memuaskan', 'saat', 'mendesak', 'semua', 'serba', 'tidak', 'bisa', 'aplikasi', 'update', 'terus', 'tapi', 'isi', 'dalam', 'dan', 'kedepan', 'nya', 'sangat', 'mengecewakan']",makin lama kredivo makin tidak muas saat desak semua serba tidak bisa aplikasi update terus tapi isi dalam dan depan nya sangat kecewa
"['aplikasi', 'kredivo', 'bagus', 'buat', 'beli', 'pulsa', 'token', 'dll', 'ad', 'bunga', 'malah', 'ad', 'pot', 'bisa', 'bayar', 'bln', 'kemudia', 'tpi', 'ad', 'kelemahannya', 'tiap', 'saya', 'belnja', 'di', 'shope', 'dan', 'di', 'lainnya', 'kok', 'muncul', 'limit', 'tidak', 'cukup', 'tolong', 'penjelasannya']",aplikasi kredivo bagus buat beli pulsa token dll ad bunga malah ad pot bisa bayar bln kemudia tpi ad lemah tiap saya belnja di shope dan di lain kok muncul limit tidak cukup tolong jelas
"['sangat', 'membantu']",sangat bantu
"['aplikasi', 'yang', 'sangat', 'bagus', 'saya', 'sdh', 'pakai', 'tahun', 'saya', 'selalu', 'bayar', 'jauh', 'hari', 'sebelum', 'jatuh', 'tempo', 'tapi', 'setiap', 'mengajukan', 'akun', 'premier', 'tidak', 'pernah', 'di', 'acc', 'padahal', 'bayar', 'gak', 'pernah', 'telat', 'sekalipun']",aplikasi yang sangat bagus saya sdh pakai tahun saya selalu bayar jauh hari belum jatuh tempo tapi tiap aju akun premier tidak pernah di acc padahal bayar gak pernah telat sekalipun
"['kecewa', 'sama', 'ini', 'aplikasi', 'pinjaman', 'selalu', 'bayar', 'sebelum', 'jatuh', 'tempo', 'giliran', 'pelunsan', 'mau', 'ngajuin', 'lagi', 'di', 'tolak', 'dan', 'malah', 'di', 'suruh', 'nunggu', 'hari', 'lagi', 'gak', 'rekomen', 'bgt', 'ini', 'aplikasi']",kecewa sama ini aplikasi pinjam selalu bayar belum jatuh tempo gilir pelunsan mau ngajuin lagi di tolak dan malah di suruh nunggu hari lagi gak rekomen bgt ini aplikasi
"['puas', 'sekali']",puas sekali
[],
"['kalo', 'mau', 'ngajuin', 'pinjaman', 'mudah', 'tapi', 'kalo', 'mau', 'bayar', 'gabisa', 'terus', 'alasanya', 'karena', 'sinyal', 'padahal', 'wifi', 'kenceng', 'kuota', 'kenceng', 'loadingnya', 'lama', 'tapi', 'gagal', 'terus']",kalo mau ngajuin pinjam mudah tapi kalo mau bayar gabisa terus alasanya karena sinyal padahal wifi kenceng kuota kenceng loadingnya lama tapi gagal terus
"['suka', 'aja', 'pakai', 'aplikasi', 'ini', 'dan', 'sampe', 'hari', 'ini', 'masih', 'stay', 'di', 'aplikasi', 'kredivo', 'karena', 'emang', 'semudah', 'dan', 'gak', 'pernah', 'ribet', 'dalam', 'transaksi', 'apapun', 'baik', 'pinjaman', 'maupun', 'belanja', 'selalu', 'memuaskan', 'dan', 'tak', 'pernah', 'buat', 'kecewa', 'mudah', 'mudahan', 'limit', 'nya', 'bisa', 'di', 'tambah', 'lagi', 'biar', 'makin', 'lancar', 'jaya', 'untuk', 'kredivo', 'sukses', 'dan', 'lancar', 'selalu']",suka aja pakai aplikasi ini dan sampe hari ini masih stay di aplikasi kredivo karena emang mudah dan gak pernah ribet dalam transaksi apa baik pinjam maupun belanja selalu muas dan tak pernah buat kecewa mudah mudah limit nya bisa di tambah lagi biar makin lancar jaya untuk kredivo sukses dan lancar selalu
"['awalnya', 'enak', 'tiap', 'kali', 'bayar', 'cicilan', 'limit', 'langsung', 'naik', 'lagi', 'sekarang', 'mah', 'boro', 'boro', 'naik', 'lagi', 'sudah', 'tidak', 'bisa', 'diandalkan', 'untuk', 'keperluan', 'yang', 'mendesak', 'bayar', 'cicilan', 'tepat', 'waktu', 'juga', 'gak', 'ngaruh']",awal enak tiap kali bayar cicil limit langsung naik lagi sekarang mah boro boro naik lagi sudah tidak bisa andal untuk perlu yang desak bayar cicil tepat waktu juga gak ngaruh
"['setiap', 'mau', 'transaksi', 'gagal', 'terus', 'padahal', 'sebelum', 'nya', 'lancar', 'lancar', 'saja', 'kenapa', 'jd', 'seperti', 'ini', 'mohon', 'penjelasan', 'nya', 'terimakasih']",tiap mau transaksi gagal terus padahal belum nya lancar lancar saja kenapa jd seperti ini mohon jelas nya terimakasih
"['ancaman', 'penagihan', 'mengerikan']",ancam tagih keri
"['pelayanan', 'buruk', 'akun', 'saya', 'di', 'tangguhkan', 'padahal', 'saya', 'gak', 'ada', 'masalah', 'dngn', 'pembayaran', 'kredivo', 'saya', 'ketika', 'tagihan', 'udah', 'saya', 'lunasin', 'semua', 'malah', 'adm', 'nya', 'bilang', 'klo', 'akun', 'saya', 'sudah', 'blokir', 'permanen', 'saya', 'butuh', 'penjelasan']",layan buruk akun saya di tangguh padahal saya gak ada masalah dngn bayar kredivo saya ketika tagih udah saya lunasin semua malah adm nya bilang klo akun saya sudah blokir permanen saya butuh jelas
"['dari', 'awal', 'lanycar', 'aja', 'sama', 'aplikasi', 'ini', 'kenapa', 'sekarang', 'malah', 'ga', 'bisa', 'gunakan', 'limit', 'ea', 'sedangakan', 'aqu', 'ga', 'pernah', 'telat', 'mmbayar', 'manis', 'di', 'awalnya', 'aja', 'makin', 'kesi', 'makin', 'ga', 'jelas', 'ga', 'ada', 'sebab', 'tida', 'bisa', 'gunakan', 'dengan', 'alasan', 'demi', 'ke', 'amanan', 'permintaan', 'ada', 'tida', 'bisa', 'proses', 'mning', 'unstal', 'aja', 'kalo', 'ga', 'guna']",dari awal lanycar aja sama aplikasi ini kenapa sekarang malah ga bisa guna limit ea sedangakan aqu ga pernah telat mmbayar manis di awal aja makin kesi makin ga jelas ga ada sebab tida bisa guna dengan alas demi ke aman minta ada tida bisa proses mning unstal aja kalo ga guna
"['sangat', 'memuaskan']",sangat muas
"['sangat', 'mempermudah', 'aktivitas', 'jujur', 'selama', 'saya', 'menggunakan', 'kredivo', 'saat', 'saya', 'dinas', 'keluar', 'kota', 'dan', 'kadang', 'dana', 'dari', 'kantor', 'telat', 'cair', 'ini', 'sangat', 'membantu', 'kredivo', 'ambil', 'untung', 'pun', 'sedikit', 'lah', 'gak', 'sampe', '%', 'langsung', 'di', 'trf', 'lagi', 'tidak', 'sampe', 'menit']",sangat mudah aktivitas jujur lama saya guna kredivo saat saya dinas keluar kota dan kadang dana dari kantor telat cair ini sangat bantu kredivo ambil untung pun sedikit lah gak sampe  langsung di trf lagi tidak sampe menit
"['aplikasi', 'cukup', 'bagus', 'dan', 'cepat', 'tapi', 'kredit', 'pemula', 'hanya', 'bisa', 'tenor', 'bulan', 'dan', 'hr', 'cukup', 'agak', 'berat', 'pengen', 'nya', 'pengguna', 'awal', 'bisa', 'atau', 'bulan', 'kredit', 'biar', 'angsuran', 'agak', 'ringan']",aplikasi cukup bagus dan cepat tapi kredit mula hanya bisa tenor bulan dan hr cukup agak berat ken nya guna awal bisa atau bulan kredit biar angsur agak ringan
"['apaan', 'ini', 'kalian', 'sistemnya', 'eror', 'apa', 'ya', 'limit', 'masih', 'ada', 'tapi', 'tdk', 'bisa', 'digunakan', 'karena', 'alasan', 'keamanan', 'emang', 'kenapa', 'si', 'keamanannya', 'kali', 'saya', 'menghubungi', 'kredivo', 'team', 'jawabannya', 'template', 'semua', 'cek', 'berkala', 'woi', 'udah', 'minggu', 'disuruh', 'cek', 'berkala', 'terus', 'kecewa', 'parah']",apa ini kalian sistem eror apa ya limit masih ada tapi tdk bisa guna karena alas aman emang kenapa si aman kali saya hubung kredivo team jawab template semua cek kala woi udah minggu suruh cek kala terus kecewa parah
"['kecewa', 'dengan', 'layanan', 'kredivo', 'telat', 'sehari', 'dendanya', 'mencekik', 'belum', 'lagi', 'kalau', 'mau', 'jatuh', 'tempo', 'sudah', 'di', 'ancam', 'padahal', 'saya', 'gak', 'pernah', 'telat', 'bayar', 'coba', 'kalau', 'bisa', 'untuk', 'tanggal', 'jatuh', 'temponya', 'di', 'atur', 'sendiri', 'kalau', 'sudah', 'sering', 'transaksi', 'disini']",kecewa dengan layan kredivo telat hari denda cekik belum lagi kalau mau jatuh tempo sudah di ancam padahal saya gak pernah telat bayar coba kalau bisa untuk tanggal jatuh tempo di atur sendiri kalau sudah sering transaksi sini
"['awal', 'buka', 'limit', 'lumayan', 'sering', 'pake', 'lebih', 'dari', 'th', 'limit', 'naek', 'eh', 'sekarang', 'limit', 'turun', 'lagi', 'padahal', 'bayar', 'ga', 'pernah', 'telat', 'makin', 'lama', 'makin', 'sering', 'pake', 'makin', 'kecil', 'limit', 'nya', 'padahal', 'tulisannya', 'limit', 'juta', 'tapi', 'ga', 'bisa', 'di', 'pake', 'yg', 'bisa', 'di', 'pake', 'ga', 'sampe', 'juta', 'kocak', 'banget', 'makin', 'ke', 'sini', 'makin', 'kecil']",awal buka limit lumayan sering pake lebih dari th limit naek eh sekarang limit turun lagi padahal bayar ga pernah telat makin lama makin sering pake makin kecil limit nya padahal tulis limit juta tapi ga bisa di pake yg bisa di pake ga sampe juta kocak banget makin ke sini makin kecil
"['the', 'best', 'kecuali', 'penagihan', 'nya', 'note', 'kemarin', 'ada', 'kendala', 'pribadi', 'yang', 'mengharuskan', 'untuk', 'pembayaran', 'saya', 'terlambat', 'tapi', 'tetap', 'kasar', 'aja', 'bagian', 'penagihan', 'nya', 'meskipun', 'sudah', 'dijelaskan', 'dan', 'di', 'janjikan', 'untuk', 'waktu', 'pembayarannya']",the best kecuali tagih nya note kemarin ada kendala pribadi yang harus untuk bayar saya lambat tapi tetap kasar aja bagi tagih nya meski sudah jelas dan di janji untuk waktu bayar
['payah'],payah
"['gak', 'jelas', 'pembayaran', 'tepat', 'waktu', 'gak', 'pernah', 'nunggak', 'bahkan', 'sebelum', 'jth', 'tempo', 'sudah', 'dibayar', 'tp', 'akun', 'ditutup', 'permanen']",gak jelas bayar tepat waktu gak pernah nunggak bahkan belum jth tempo sudah bayar tp akun tutup permanen
"['dulu', 'kredivo', 'jadi', 'apk', 'andalan', 'di', 'saat', 'ada', 'kebutuhan', 'tapi', 'sekarang', 'semenjak', 'skor', 'bisa', 'turun', 'limit', 'yang', 'besar', 'pun', 'tidak', 'bisa', 'terpakai', 'sama', 'sekali', 'bagaimana', 'kita', 'mau', 'bertransaki', 'untuk', 'menaikan', 'skor', 'sedangkan', 'limit', 'yang', 'ada', 'tidak', 'bisa', 'di', 'pakai']",dulu kredivo jadi apk andal di saat ada butuh tapi sekarang semenjak skor bisa turun limit yang besar pun tidak bisa pakai sama sekali bagaimana kita mau bertransaki untuk naik skor sedang limit yang ada tidak bisa di pakai
[],
"['proses', 'cepat', 'sekali', 'bagus', 'banget', 'aplikasi', 'yg', 'sangat', 'membantu', 'kredivo', 'aplikasi', 'sangat', 'bagus', 'sampai', 'saat', 'ini', 'saya', 'merasa', 'puas', 'dan', 'limit', 'pun', 'cepat', 'naik', 'mantap', 'pokok', 'nya', 'mag']",proses cepat sekali bagus banget aplikasi yg sangat bantu kredivo aplikasi sangat bagus sampai saat ini saya rasa puas dan limit pun cepat naik mantap pokok nya mag
"['sangat', 'membantu']",sangat bantu
"['baru', 'daftar', 'udah', 'kena', 'telpon', 'orang', 'ga', 'dikenal', 'mengatasnamakan', 'kredivo', 'data', 'diri', 'pelanggan', 'bocor', 'dibuat']",baru daftar udah kena telpon orang ga kenal mengatasnamakan kredivo data diri langgan bocor buat
"['bintang', 'karna', 'saya', 'sudah', 'tahun', 'mengunakan', 'kredivo', 'tapi', 'tidak', 'pernah', 'bisa', 'upgrade', 'akun', 'cuma', 'bisa', 'rb', 'buat', 'beli', 'pulsa', 'doang', 'selama', 'th', 'ini', 'referal', 'saya', 'jga', 'tdk', 'pernah', 'masuk', 'setiap', 'undang', 'temen', 'padahal', 'sudah', 'acc', 'dg', 'link', 'saya', 'dan', 'kode', 'saya', 'tetep', 'aja', 'ngak', 'masuk', 'referal', 'maupun', 'bonus', 'referal', 'ny']",bintang karna saya sudah tahun mengunakan kredivo tapi tidak pernah bisa upgrade akun cuma bisa rb buat beli pulsa doang lama th ini referal saya jga tdk pernah masuk tiap undang temen padahal sudah acc dg link saya dan kode saya tetep aja ngak masuk referal maupun bonus referal ny
"['sangat', 'membantu']",sangat bantu
"['sebenarnya', 'aplikasinya', 'bagus', 'dan', 'bermanfaat', 'tapi', 'setelah', 'berbulan', 'bulan', 'pembayaran', 'tanpa', 'telat', 'bayar', 'limit', 'gak', 'pernah', 'naik', 'dan', 'juga', 'sering', 'ada', 'notif', 'by', 'email', 'masalah', 'double', 'tagihan', 'tolong', 'pihak', 'kredivo', 'diperbaiki', 'lagi', 'aplikasinya', 'semoga', 'kedepannya', 'kredivo', 'lebih', 'bagus', 'lagi', 'terima', 'kasih']",benar aplikasi bagus dan manfaat tapi telah bulan bulan bayar tanpa telat bayar limit gak pernah naik dan juga sering ada notif by email masalah double tagih tolong pihak kredivo baik lagi aplikasi moga depan kredivo lebih bagus lagi terima kasih
"['keren', 'aya', 'sudah', 'naik', 'limit', 'dan', 'alhamdulillah', 'selalu', 'diberikan', 'kelancaran', 'dalam', 'pembayaran', 'semoga', 'bisa', 'naik', 'limit', 'lagi', 'ke', 'limit', 'maksimal', 'terimakasih', 'kredivo', 'belanja', 'jadi', 'sangat', 'mudah', 'dan', 'gak', 'ribet']",keren aya sudah naik limit dan alhamdulillah selalu beri lancar dalam bayar moga bisa naik limit lagi ke limit maksimal terimakasih kredivo belanja jadi sangat mudah dan gak ribet
"['sangat', 'membantu']",sangat bantu
"['saya', 'ubah', 'bintang', 'nya', 'karna', 'saya', 'mengajukan', 'pinjaman', 'di', 'kredivazz', 'uang', 'nya', 'tidak', 'masuk', 'tagihan', 'uda', 'nangkring', 'aja', 'padahal', 'uang', 'nya', 'gak', 'sedikit', 'chat', 'di', 'abaikan', 'entah', 'mau', 'nya', 'apa', 'itu', 'gimana', 'solusinya', 'uang', 'nya', 'gak', 'masuk', 'tapi', 'kami', 'harus', 'bayar', 'tagihan', 'ya', 'allah', 'tega', 'betul', 'kalian']",saya ubah bintang nya karna saya aju pinjam di kredivazz uang nya tidak masuk tagih uda nangkring aja padahal uang nya gak sedikit chat di abai entah mau nya apa itu gimana solusi uang nya gak masuk tapi kami harus bayar tagih ya allah tega betul kalian
"['pembayar', 'saya', 'selalu', 'lancar', 'tiap', 'melakukan', 'transaksi', 'di', 'kredivo', 'tidak', 'pernah', 'ada', 'kendala', 'ketika', 'suatu', 'hari', 'akun', 'di', 'hack', 'org', 'dan', 'langsung', 'terblokir', 'secara', 'permanen', 'sangat', 'di', 'sayangkan', 'semoga', 'bisa', 'di', 'bantu', 'untuk', 'di', 'buka', 'kembali', 'untuk', 'ke', 'aman', 'akun', 'tolong', 'di', 'perketat', 'karna', 'bnyak', 'nya', 'oknum', 'yg', 'mencoba', 'membobol', 'akun']",bayar saya selalu lancar tiap laku transaksi di kredivo tidak pernah ada kendala ketika suatu hari akun di hack org dan langsung blokir cara permanen sangat di sayang moga bisa di bantu untuk di buka kembali untuk ke aman akun tolong di ketat karna bnyak nya oknum yg coba bobol akun
"['sangat', 'membantu', 'sekali']",sangat bantu sekali
"['sangat', 'terbantu', 'dengan', 'akun', 'kredivo', 'tapi', 'untuk', 'data', 'privasi', 'mohon', 'lebih', 'ditingkatkan', 'ke', 'amanan', 'nya', 'karena', 'hampir', 'saja', 'kena', 'tipu', 'yang', 'saya', 'herankan', 'kenapa', 'data', 'bisa', 'bocor', 'kedepan', 'mudah', 'an', 'tidak', 'ada', 'lagi', 'kasus', 'seperti', 'ini', 'ya']",sangat bantu dengan akun kredivo tapi untuk data privasi mohon lebih tingkat ke aman nya karena hampir saja kena tipu yang saya heran kenapa data bisa bocor depan mudah an tidak ada lagi kasus seperti ini ya
"['sangat', 'membantu']",sangat bantu
"['aplikasi', 'ini', 'ngejebak', 'nasabah', 'mereka', 'yg', 'telat', 'memverifikasi', 'pembayaran', 'kita', 'yg', 'harus', 'nanggung', 'dendanya', 'hati', 'dengan', 'aplikasi', 'ini', 'lebih', 'baik', 'dipikir', 'dulu', 'sebelum', 'menggunakan', 'aplikasi', 'ini', 'jgn', 'sampai', 'kita', 'dijebak', 'dengan', 'aplikasi', 'pinjaman', 'seperti', 'ini', 'dendanya', 'sangat', 'besar', 'dan', 'sangat', 'memberatkan']",aplikasi ini ngejebak nasabah mereka yg telat verifikasi bayar kita yg harus nanggung denda hati dengan aplikasi ini lebih baik pikir dulu belum guna aplikasi ini jgn sampai kita jebak dengan aplikasi pinjam seperti ini denda sangat besar dan sangat berat
"['sangat', 'buruk', 'di', 'karenakan', 'keterlambatan', 'ok', 'pembayaran', 'hanya', 'sekali', 'dan', 'sudah', 'di', 'bayar', 'aplikasi', 'saya', 'sudah', 'di', 'tidak', 'bisa', 'digunakan', 'lagi', 'padahal', 'masih', 'ada', 'limit', 'sangat', 'kecewa', 'hari', 'ini', 'detik', 'ini', 'saya', 'uninstall', 'kredivo']",sangat buruk di karena lambat ok bayar hanya sekali dan sudah di bayar aplikasi saya sudah di tidak bisa guna lagi padahal masih ada limit sangat kecewa hari ini detik ini saya uninstall kredivo
"['biar', 'bintang', 'yang', 'bicara']",biar bintang yang bicara
"['lama', 'untuk', 'blz', 'chats', 'atw', 'email', 'nya', 'kendala', 'apa', 'yg', 'sya', 'sedang', 'terjadi']",lama untuk blz chats atw email nya kendala apa yg sya sedang jadi
"['baru', 'nyobain', 'pake', 'kredivo', 'beneran', 'ga', 'ribet', 'mo', 'belanja', 'tinggal', 'klik', 'langsung', 'kredivo', 'bayarin']",baru nyobain pake kredivo beneran ga ribet mo belanja tinggal klik langsung kredivo bayarin
['god'],god
"['kenaik', 'kan', 'limit', 'pelit', 'voucer', 'pelit', 'bonus', 'pelit', 'undian', 'grand', 'prize', 'pun', 'gk', 'pernah', 'dapat', 'padahal', 'udah', 'konsumen', 'lama', 'riwayat', 'pun', 'boleh', 'anda', 'lihat', 'dan', 'nilai', 'sendiri', 'kecewa', 'saya']",naik kan limit pelit voucer pelit bonus pelit undi grand prize pun gk pernah dapat padahal udah konsumen lama riwayat pun boleh anda lihat dan nilai sendiri kecewa saya
"['sangat', 'terbantu', 'untuk', 'keperluan', 'darurat', 'sayangnya', 'limit', 'saya', 'baru', 'sedikit', 'harapannya', 'bisa', 'nambah', 'limitnya']",sangat bantu untuk perlu darurat sayang limit saya baru sedikit harap bisa nambah limit
"['saya', 'perdana', 'pake', 'kredivo', 'cicilan', 'kredifazz', 'pun', 'saya', 'lunasi', 'di', 'transaksi', 'pertama', 'tenor', 'bulan', 'tapi', 'ketika', 'akan', 'menggunakan', 'nanya', 'lagi', 'malah', 'disuruh', 'menunggu', 'hari', 'malahan', 'dompet', 'digital', 'pun', 'selalu', 'ditolak', 'ingin', 'mudah', 'tapi', 'malah', 'susah']",saya perdana pake kredivo cicil kredifazz pun saya lunas di transaksi pertama tenor bulan tapi ketika akan guna nanya lagi malah suruh tunggu hari malah dompet digital pun selalu tolak ingin mudah tapi malah susah
"['tidak', 'pernah', 'bayar', 'telat', 'tapi', 'limit', 'pinjaman', 'bulan', 'tdk', 'bisa', 'di', 'gunakan', 'hanya', 'bisa', 'menggunakan', 'limit', 'bln', 'itupun', 'untuk', 'beli', 'pulsa']",tidak pernah bayar telat tapi limit pinjam bulan tdk bisa di guna hanya bisa guna limit bln itu untuk beli pulsa
"['alhamdulillah', 'setelah', 'disuruh', 'daftar', 'lagi', 'sekarang', 'sudah', 'bisa', 'pakai', 'kredivo', 'dan', 'sangat', 'memuaskan', 'tidak', 'repot', 'bisa', 'bekerjasama', 'dengan', 'aplikasi', 'yg', 'lain', 'juga']",alhamdulillah telah suruh daftar lagi sekarang sudah bisa pakai kredivo dan sangat muas tidak repot bisa bekerjasama dengan aplikasi yg lain juga
"['sayang', 'banget', 'aplikasi', 'pinjaman', 'sebesar', 'ini', 'tidak', 'bisa', 'membedakan', 'nasabah', 'lama', 'yg', 'sudah', 'cukup', 'menemani', 'dan', 'memakai', 'aplikasi', 'hingga', 'sesukses', 'ini', 'padahal', 'pembayaran', 'sangat', 'tepat', 'waktu', 'belum', 'jatuh', 'tempo', 'pun', 'di', 'lunasi', 'semua', 'giliran', 'ngajuin', 'lagi', 'alasan', 'keamanan', 'dan', 'di', 'tolak', 'telpon', 'suport', 'pun', 'alasan', 'tidak', 'jelas', 'tlp', 'no', 'yg', 'satu', 'pun', 'jawaban', 'nya', 'saling', 'lempar', 'jadi', 'kecewa', 'tolong', 'hargai', 'perjuangan', 'nasabah', 'yg', 'sudah', 'bergelut', 'lama', 'dengan', 'aplikasi', 'ini', 'lihat', 'dan', 'pantau', 'sejarah', 'nya']",sayang banget aplikasi pinjam besar ini tidak bisa beda nasabah lama yg sudah cukup tani dan pakai aplikasi hingga sukses ini padahal bayar sangat tepat waktu belum jatuh tempo pun di lunas semua gilir ngajuin lagi alas aman dan di tolak telpon suport pun alas tidak jelas tlp no yg satu pun jawab nya saling lempar jadi kecewa tolong harga juang nasabah yg sudah gelut lama dengan aplikasi ini lihat dan pantau sejarah nya
"['pelayanan', 'buruk', 'telat', 'bayar', 'langsung', 'di', 'blokir', 'padahal', 'denda', 'tetap', 'di', 'bayar', 'tapi', 'tetap', 'aja', 'jelek', 'di', 'mata', 'mereka', 'para', 'dc', 'nya', 'gak', 'semua', 'orang', 'ekonomi', 'nya', 'baik', 'terus', 'pasti', 'ada', 'pasang', 'surut', 'nya', 'dan', 'bukan', 'karena', 'gak', 'mau', 'bayar', 'tapi', 'karena', 'kondisi', 'keuangan', 'yg', 'gak', 'stabil']",layan buruk telat bayar langsung di blokir padahal denda tetap di bayar tapi tetap aja jelek di mata mereka para dc nya gak semua orang ekonomi nya baik terus pasti ada pasang surut nya dan bukan karena gak mau bayar tapi karena kondisi uang yg gak stabil
"['aneh', 'tidak', 'pernah', 'telat', 'dan', 'malah', 'lebih', 'awal', 'untuk', 'pembayaran', 'tapi', 'saat', 'mau', 'di', 'gunakan', 'kembali', 'malah', 'langsung', 'di', 'tolak', 'dan', 'banyak', 'alasan', 'gajelas']",aneh tidak pernah telat dan malah lebih awal untuk bayar tapi saat mau di guna kembali malah langsung di tolak dan banyak alas gajelas
