Stemming,negasi
ini gimana yaa aku jarang buka akun nya kok harus ngisi data lagi data yg dulu di kemanain tolong data saya di hapus saja di kasih limit juga dikit gk pikir buat belanja tapi pas buka aplikasi nya harus ngisi data lagi teu lieurr mah hapus data saya,"['ini', 'gimana', 'yaa', 'aku', 'jarang', 'buka', 'akun', 'nya', 'kok', 'harus', 'ngisi', 'data', 'lagi', 'data', 'yg', 'dulu', 'di', 'kemanain', 'tolong', 'data', 'saya', 'di', 'hapus', 'saja', 'di', 'kasih', 'limit', 'juga', 'dikit', 'gk', 'pikir', 'buat', 'belanja', 'tapi', 'pas', 'buka', 'aplikasi', 'nya', 'harus', 'ngisi', 'data', 'lagi', 'teu', 'lieurr', 'mah', 'hapus', 'data', 'saya']"
bagai nasabah lama apl ini kredivo saya ucap terima kasih banyak karena akun saya sudah alih ke premium tapi sayang nya kenapa score nya gak ubah masih tetap di score padahal saya gak pernah telat lambat dalam bayar trmksh,"['bagai', 'nasabah', 'lama', 'apl', 'ini', 'kredivo', 'saya', 'ucap', 'terima', 'kasih', 'banyak', 'karena', 'akun', 'saya', 'sudah', 'alih', 'ke', 'premium', 'tapi', 'sayang', 'nya', 'kenapa', 'score', 'nya', 'tidak_ubah', 'masih', 'tetap', 'di', 'score', 'padahal', 'saya', 'tidak_pernah', 'telat', 'lambat', 'dalam', 'bayar', 'trmksh']"
saya tiap guna ris untuk transaksi kadang gagal buat proses bayar tunda cukup lama saat itu limit saya tinggi dan ris gagal di siang jelang sore tolong baik dengan jadi yg saya alami sebut,"['saya', 'tiap', 'guna', 'ris', 'untuk', 'transaksi', 'kadang', 'gagal', 'buat', 'proses', 'bayar', 'tunda', 'cukup', 'lama', 'saat', 'itu', 'limit', 'saya', 'tinggi', 'dan', 'ris', 'gagal', 'di', 'siang', 'jelang', 'sore', 'tolong', 'baik', 'dengan', 'jadi', 'yg', 'saya', 'alami', 'sebut']"
masalah yg selalu tidak ubah dari dulu adalah saat mau buka aplikasi gak pernah bisa krn alas koneksi data ke server tidak stabil padahal jaring lancar banget kadang klu buka tengah malam baru bisa sudah lapor ke cs ttp aja gak ada jalan keluar benar sy suka sama aplikasi ini tp yg buat emosi krn selalu tidak bisa di buka,"['masalah', 'yg', 'selalu', 'tidak_ubah', 'dari', 'dulu', 'adalah', 'saat', 'mau', 'buka', 'aplikasi', 'tidak_pernah', 'bisa', 'krn', 'alas', 'koneksi', 'data', 'ke', 'server', 'tidak_stabil', 'padahal', 'jaring', 'lancar', 'banget', 'kadang', 'klu', 'buka', 'tengah', 'malam', 'baru', 'bisa', 'sudah', 'lapor', 'ke', 'cs', 'ttp', 'aja', 'tidak_ada', 'jalan', 'keluar', 'benar', 'sy', 'suka', 'sama', 'aplikasi', 'ini', 'tp', 'yg', 'buat', 'emosi', 'krn', 'selalu', 'tidak_bisa', 'di', 'buka']"
baik,['baik']
sangat bantu dengan apk ini bunga ringan buat belanja online pertama pakai memang risih sama cs nya belum jtp udah ditlp tapi sekarang udah ga lagi moga kredivo beri layan yg lebih baik lagi,"['sangat', 'bantu', 'dengan', 'apk', 'ini', 'bunga', 'ringan', 'buat', 'belanja', 'online', 'pertama', 'pakai', 'memang', 'risih', 'sama', 'cs', 'nya', 'belum', 'jtp', 'udah', 'ditlp', 'tapi', 'sekarang', 'udah', 'ga', 'lagi', 'moga', 'kredivo', 'beri', 'layan', 'yg', 'lebih', 'baik', 'lagi']"
cepat tuju nya dan mudah transaksi tanpa uang tunai bayar pinjam mudah dan cepat beri notifikasi nya cucok banget recomended sdh lama guna kredivo moga layan terus jaga,"['cepat', 'tuju', 'nya', 'dan', 'mudah', 'transaksi', 'tanpa', 'uang', 'tunai', 'bayar', 'pinjam', 'mudah', 'dan', 'cepat', 'beri', 'notifikasi', 'nya', 'cucok', 'banget', 'recomended', 'sdh', 'lama', 'guna', 'kredivo', 'moga', 'layan', 'terus', 'jaga']"
angsur eingan proses cepat moga aman rekomended utk teman senang pakai aplikasi ini nyaman dan sangat bantu sukses terus kredivo terus bantu kita semua,"['angsur', 'eingan', 'proses', 'cepat', 'moga', 'aman', 'rekomended', 'utk', 'teman', 'senang', 'pakai', 'aplikasi', 'ini', 'nyaman', 'dan', 'sangat', 'bantu', 'sukses', 'terus', 'kredivo', 'terus', 'bantu', 'kita', 'semua']"
bagus aplikasi saya pas lagi bingung pas nemu aplikasi ini ngerasa bantu banget maaf saya mau tanya ini ada yg wa saya kata ada baik data dana yg sudah saya pinjam harus fi kembali dulu apakah benar kl tidak saya akan lapor atau di beclis tolong bantuanya aoakah benar dari tadi nelpon terus,"['bagus', 'aplikasi', 'saya', 'pas', 'lagi', 'bingung', 'pas', 'nemu', 'aplikasi', 'ini', 'ngerasa', 'bantu', 'banget', 'maaf', 'saya', 'mau', 'tanya', 'ini', 'ada', 'yg', 'wa', 'saya', 'kata', 'ada', 'baik', 'data', 'dana', 'yg', 'sudah', 'saya', 'pinjam', 'harus', 'fi', 'kembali', 'dulu', 'apakah', 'benar', 'kl', 'tidak_saya', 'akan', 'lapor', 'atau', 'di', 'beclis', 'tolong', 'bantuanya', 'aoakah', 'benar', 'dari', 'tadi', 'nelpon', 'terus']"
beli pulsa token listrik top up ewalet selalu di tolak padahal sudah tidak ada tagih mending saya tutup akun permanen kalau gitu selalu muncul terang banyak transaksi anda mau banyak transaksi bagaiman kalau beli pulsa aja selalu di tolak itu bintan kalau bisa di ilangin sya kasi nol bintang jadi curhat sya hahhahahaha,"['beli', 'pulsa', 'token', 'listrik', 'top', 'up', 'ewalet', 'selalu', 'di', 'tolak', 'padahal', 'sudah', 'tidak_ada', 'tagih', 'mending', 'saya', 'tutup', 'akun', 'permanen', 'kalau', 'gitu', 'selalu', 'muncul', 'terang', 'banyak', 'transaksi', 'anda', 'mau', 'banyak', 'transaksi', 'bagaiman', 'kalau', 'beli', 'pulsa', 'aja', 'selalu', 'di', 'tolak', 'itu', 'bintan', 'kalau', 'bisa', 'di', 'ilangin', 'sya', 'kasi', 'nol', 'bintang', 'jadi', 'curhat', 'sya', 'hahhahahaha']"
