CaseFolding,Tokenizing
aplikasi parah  telat dikit aja langsung ditelp berkali  dan cukup mengganggu setiap menit ditelp  padahal klo telat pun kena denda dan aplikasi diblokir,"['aplikasi', 'parah', 'telat', 'dikit', 'aja', 'langsung', 'ditelp', 'berkali', 'dan', 'cukup', 'mengganggu', 'setiap', 'menit', 'ditelp', 'padahal', 'klo', 'telat', 'pun', 'kena', 'denda', 'dan', 'aplikasi', 'diblokir']"
trimakasih sudah menaikkan limit saya  dn semoga limit naik makin naik terus  tolong naikkan saya limit lgi agar bisa beli barang  yg agak mahal karna biar bisa jg suksesin misi kredivo dan belanja  kebutuhan seperti elektronik dll  skrg limit saya jt tolong naikkan atasnya  trimakasih pemilik kredivo dan team  kredivo  trimakasih banyak,"['trimakasih', 'sudah', 'menaikkan', 'limit', 'saya', 'dn', 'semoga', 'limit', 'naik', 'makin', 'naik', 'terus', 'tolong', 'naikkan', 'saya', 'limit', 'lgi', 'agar', 'bisa', 'beli', 'barang', 'yg', 'agak', 'mahal', 'karna', 'biar', 'bisa', 'jg', 'suksesin', 'misi', 'kredivo', 'dan', 'belanja', 'kebutuhan', 'seperti', 'elektronik', 'dll', 'skrg', 'limit', 'saya', 'jt', 'tolong', 'naikkan', 'atasnya', 'trimakasih', 'pemilik', 'kredivo', 'dan', 'team', 'kredivo', 'trimakasih', 'banyak']"
pas banget saat di butuhkan  untuk cicilan bener  sampai bulan  bahkan untuk belanja di mercart lain pun sma bisa di cicil sampai bulan  kredivo bener  bagus dan sangat membantu  terima kasih kredivo selalu tingkatkan lebih baik lagi,"['pas', 'banget', 'saat', 'di', 'butuhkan', 'untuk', 'cicilan', 'bener', 'sampai', 'bulan', 'bahkan', 'untuk', 'belanja', 'di', 'mercart', 'lain', 'pun', 'sma', 'bisa', 'di', 'cicil', 'sampai', 'bulan', 'kredivo', 'bener', 'bagus', 'dan', 'sangat', 'membantu', 'terima', 'kasih', 'kredivo', 'selalu', 'tingkatkan', 'lebih', 'baik', 'lagi']"
alhamdulillah terima kasih banyak bisa membantu saya dengan adanya kredivo aplikasi ini tapi kenapa limit saya tetep aja gak nambah pada hal bayar tepat waktu alhamdulillah tapi tetep aja gak naik limitnya makasih,"['alhamdulillah', 'terima', 'kasih', 'banyak', 'bisa', 'membantu', 'saya', 'dengan', 'adanya', 'kredivo', 'aplikasi', 'ini', 'tapi', 'kenapa', 'limit', 'saya', 'tetep', 'aja', 'gak', 'nambah', 'pada', 'hal', 'bayar', 'tepat', 'waktu', 'alhamdulillah', 'tapi', 'tetep', 'aja', 'gak', 'naik', 'limitnya', 'makasih']"
transaksi ku slalu sukses dan limit ku bertambah jadi jt saya sangat terbantu dgn adanya kredivo dan transaksi belanjanya mudah bisa dipakai dimana trimakasih kredivo sukses slalu  ,"['transaksi', 'ku', 'slalu', 'sukses', 'dan', 'limit', 'ku', 'bertambah', 'jadi', 'jt', 'saya', 'sangat', 'terbantu', 'dgn', 'adanya', 'kredivo', 'dan', 'transaksi', 'belanjanya', 'mudah', 'bisa', 'dipakai', 'dimana', 'trimakasih', 'kredivo', 'sukses', 'slalu']"
ini gimana yaa  aku jarang buka akun nya kok harus ngisi data lagi  data yg dulu di kemanain  tolong data saya di hapus saja di kasih limit juga dikit  gk kepikiran buat belanja  tapi pas buka aplikasi nya harus ngisi data lagi  teu lieurr mah hapus data saya,"['ini', 'gimana', 'yaa', 'aku', 'jarang', 'buka', 'akun', 'nya', 'kok', 'harus', 'ngisi', 'data', 'lagi', 'data', 'yg', 'dulu', 'di', 'kemanain', 'tolong', 'data', 'saya', 'di', 'hapus', 'saja', 'di', 'kasih', 'limit', 'juga', 'dikit', 'gk', 'kepikiran', 'buat', 'belanja', 'tapi', 'pas', 'buka', 'aplikasi', 'nya', 'harus', 'ngisi', 'data', 'lagi', 'teu', 'lieurr', 'mah', 'hapus', 'data', 'saya']"
sebagai nasabah lama apl ini  kredivo  saya mengucapkan terima kasih banyak karena akun saya sudah beralih ke premium  tapi sayang nya kenapa score nya gak berubah masih tetap di score padahal saya gak pernah telat terlambat dalam pembayaran  trmksh,"['sebagai', 'nasabah', 'lama', 'apl', 'ini', 'kredivo', 'saya', 'mengucapkan', 'terima', 'kasih', 'banyak', 'karena', 'akun', 'saya', 'sudah', 'beralih', 'ke', 'premium', 'tapi', 'sayang', 'nya', 'kenapa', 'score', 'nya', 'gak', 'berubah', 'masih', 'tetap', 'di', 'score', 'padahal', 'saya', 'gak', 'pernah', 'telat', 'terlambat', 'dalam', 'pembayaran', 'trmksh']"
saya setiap menggunakan ris untuk transaksi kadang  gagal membuat proses pembayaran tertunda cukup lama  disaat itu limit saya tinggi dan ris gagal di siang menjelang sore  tolong diperbaiki dengan kejadian yg saya alami tersebut,"['saya', 'setiap', 'menggunakan', 'ris', 'untuk', 'transaksi', 'kadang', 'gagal', 'membuat', 'proses', 'pembayaran', 'tertunda', 'cukup', 'lama', 'disaat', 'itu', 'limit', 'saya', 'tinggi', 'dan', 'ris', 'gagal', 'di', 'siang', 'menjelang', 'sore', 'tolong', 'diperbaiki', 'dengan', 'kejadian', 'yg', 'saya', 'alami', 'tersebut']"
masalah yg selalu tidak berubah dari dulu adalah saat mau buka aplikasi gak pernah bisa krn alasan koneksi data ke server tidak stabil  padahal jaringan lancar banget  kadang klu buka tengah malam baru bisa  sudah lapor ke cs ttp aja gak ada jalan keluar  sebenarnya sy suka sama aplikasi ini  tp yg buat emosi krn selalu tidak bisa di buka,"['masalah', 'yg', 'selalu', 'tidak', 'berubah', 'dari', 'dulu', 'adalah', 'saat', 'mau', 'buka', 'aplikasi', 'gak', 'pernah', 'bisa', 'krn', 'alasan', 'koneksi', 'data', 'ke', 'server', 'tidak', 'stabil', 'padahal', 'jaringan', 'lancar', 'banget', 'kadang', 'klu', 'buka', 'tengah', 'malam', 'baru', 'bisa', 'sudah', 'lapor', 'ke', 'cs', 'ttp', 'aja', 'gak', 'ada', 'jalan', 'keluar', 'sebenarnya', 'sy', 'suka', 'sama', 'aplikasi', 'ini', 'tp', 'yg', 'buat', 'emosi', 'krn', 'selalu', 'tidak', 'bisa', 'di', 'buka']"
terbaik,['terbaik']
sangat terbantu dengan apk ini  bunga ringan buat belanja online  pertama pakai memang risih sama cs nya belum jtp udah ditlp tapi sekarang udah ga lagi  semoga kredivo memberikan pelayan yg lebih baik lagi,"['sangat', 'terbantu', 'dengan', 'apk', 'ini', 'bunga', 'ringan', 'buat', 'belanja', 'online', 'pertama', 'pakai', 'memang', 'risih', 'sama', 'cs', 'nya', 'belum', 'jtp', 'udah', 'ditlp', 'tapi', 'sekarang', 'udah', 'ga', 'lagi', 'semoga', 'kredivo', 'memberikan', 'pelayan', 'yg', 'lebih', 'baik', 'lagi']"
